iso14443a card select failed
#db# 4350 mV       
#db# 4189 mV       
#db# 4189 mV       
#db# 4382 mV       
#db# 4382 mV       
#db# 4189 mV       
#db# 4382 mV       
#db# 4415 mV       
#db# 4157 mV       
#db# 4125 mV       
#db# 4447 mV       
#db# 4125 mV       
#db# 4253 mV       
#db# 4447 mV       
#db# 4318 mV       
#db# 4157 mV       
#db# 4318 mV       
#db# 4286 mV       
#db# cancelled       
#db# Measuring HF antenna, press button to exit       
#db# 6284 mV       
#db# 6219 mV       
#db# 6284 mV       
#db# 6251 mV       
#db# 6251 mV       
#db# 6219 mV       
#db# 6155 mV       
#db# 6348 mV       
#db# 6090 mV       
#db# 6284 mV       
#db# 6284 mV       
#db# 6058 mV       
#db# 6155 mV       
#db# 6187 mV       
#db# 6026 mV       
#db# 6316 mV       
#db# 6187 mV       
#db# 6380 mV       
#db# 6316 mV       
#db# 6058 mV       
#db# 6090 mV       
#db# 6058 mV       
#db# 6219 mV       
#db# 6316 mV       
#db# 6026 mV       
#db# 6123 mV       
#db# 6058 mV       
#db# 6026 mV       
#db# 6090 mV       
#db# 6219 mV       
#db# 6348 mV       
#db# 6123 mV       
#db# 6251 mV       
#db# 6219 mV       
#db# 6090 mV       
#db# 6058 mV       
#db# 6251 mV       
#db# 6187 mV       
#db# 6219 mV       
#db# 6058 mV       
#db# 6058 mV       
#db# 6058 mV       
#db# 6155 mV       
#db# 6058 mV       
#db# 6219 mV       
#db# 6090 mV       
#db# 6348 mV       
#db# 6316 mV       
#db# 6348 mV       
#db# 6187 mV       
#db# 6123 mV       
#db# 6187 mV       
#db# 6251 mV       
#db# 6026 mV       
#db# 6090 mV       
#db# 6348 mV       
#db# 5994 mV       
#db# 6187 mV       
#db# 6316 mV       
#db# 6284 mV       
#db# 6284 mV       
#db# 6251 mV       
#db# 6219 mV       
#db# 6348 mV       
#db# 6123 mV       
#db# 6058 mV       
#db# 6348 mV       
#db# 6348 mV       
#db# 6123 mV       
#db# 6187 mV       
#db# 5994 mV       
#db# 6123 mV       
#db# 6219 mV       
#db# 6123 mV       
#db# 5961 mV       
#db# 6284 mV       
#db# 6123 mV       
#db# 6187 mV       
#db# 6026 mV       
#db# 6090 mV       
#db# 6090 mV       
#db# 6026 mV       
#db# 6123 mV       
#db# 6058 mV       
#db# 6123 mV       
#db# 6380 mV       
#db# 5994 mV       
#db# 6090 mV       
#db# 6380 mV       
#db# 6219 mV       
#db# 5800 mV       
#db# 5994 mV       
#db# 6026 mV       
#db# 5961 mV       
#db# 5994 mV       
#db# 6058 mV       
#db# 6090 mV       
#db# 6284 mV       
#db# 6187 mV       
#db# 6187 mV       
#db# 5961 mV       
#db# 6187 mV       
#db# 6251 mV       
#db# 9506 mV       
#db# 9700 mV       
#db# 9603 mV       
#db# 9442 mV       
#db# 9603 mV       
#db# 9732 mV       
#db# 9442 mV       
